,group,numbers
59,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",478
60,"('BaseExcess', 'pH', 'SaO2', 'Lactate')",477
61,"('HCO3', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct')",476
62,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'Glucose', 'Lactate')",458
63,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",458
64,"('BaseExcess', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Hct', 'Hgb')",454
65,"('FiO2', 'pH', 'PaCO2')",441
66,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Lactate')",440
67,"('BaseExcess', 'FiO2', 'pH', 'Lactate')",439
68,"('HCO3', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Potassium')",427
69,"('BaseExcess', 'pH', 'PaCO2', 'Glucose', 'Lactate', 'Hct', 'Hgb')",426
70,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",416
71,"('SaO2', 'Hct', 'Hgb')",408
72,"('HCO3', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",406
73,"('Hct', 'Hgb', 'WBC')",399
74,"('Chloride', 'Potassium')",388
75,"('HCO3', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",383
76,"('HCO3', 'BUN', 'Chloride', 'Potassium', 'Hct', 'Hgb', 'WBC')",369
77,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",365
78,"('BaseExcess', 'pH', 'PaCO2', 'Glucose', 'Lactate', 'Potassium', 'Hct', 'Hgb')",362
79,"('pH', 'PaCO2')",353
80,"('FiO2', 'PTT')",347
81,"('BaseExcess', 'HCO3', 'pH', 'BUN', 'Chloride', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC')",346
82,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",344
83,"('BaseExcess', 'pH', 'PaCO2', 'Glucose', 'Potassium', 'Hct', 'Hgb')",341
84,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'Glucose', 'Hct', 'Hgb')",334
85,"('Platelets',)",328
86,"('Hct', 'Hgb')",327
87,"('Hgb',)",326
88,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Hct', 'Hgb')",312
89,"('pH', 'PaCO2', 'SaO2', 'Glucose')",312
90,"('Glucose', 'Potassium')",311
91,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",302
92,"('BaseExcess', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Lactate', 'Potassium')",298
93,"('BaseExcess', 'HCO3', 'pH', 'BUN', 'Chloride', 'Lactate', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC')",296
94,"('SaO2', 'Hgb')",293
95,"('pH', 'Glucose', 'Hct', 'Hgb')",292
96,"('BaseExcess', 'pH', 'PaCO2', 'SaO2', 'Hct', 'Hgb')",291
97,"('BaseExcess', 'pH', 'PaCO2', 'SaO2', 'Potassium')",291
98,"('FiO2', 'SaO2')",290
99,"('HCO3', 'FiO2', 'BUN', 'Chloride', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC')",283
100,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'Potassium')",283
101,"('Glucose', 'Hct')",281
102,"('SaO2', 'Glucose')",280
103,"('BaseExcess', 'FiO2', 'pH', 'SaO2', 'Lactate')",277
104,"('BaseExcess', 'pH', 'PaCO2', 'Potassium')",272
105,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Glucose')",271
106,"('Chloride', 'Potassium', 'Hct')",271
107,"('pH', 'PaCO2', 'SaO2')",270
108,"('HCO3', 'FiO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium')",270
109,"('Magnesium',)",265
110,"('HCO3', 'FiO2', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",251
111,"('Hct', 'Platelets')",251
112,"('BaseExcess', 'pH', 'PaCO2', 'Glucose', 'Lactate', 'Potassium')",237
113,"('pH', 'PaCO2', 'SaO2', 'Glucose', 'Potassium')",235
114,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'BUN', 'Chloride', 'Potassium', 'Hct', 'Hgb', 'WBC')",234
115,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",230
116,"('BaseExcess', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Lactate', 'Hct', 'Hgb')",229
117,"('pH', 'SaO2')",226
118,"('pH', 'Glucose', 'Potassium', 'Hct')",225
119,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",225
120,"('FiO2', 'pH', 'PaCO2', 'SaO2')",225
121,"('BaseExcess', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Potassium', 'Hct')",222
122,"('Magnesium', 'Potassium', 'Hct')",222
123,"('FiO2', 'pH')",221
124,"('HCO3', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'PTT')",221
125,"('pH', 'SaO2', 'Glucose', 'Potassium')",207
126,"('BaseExcess', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Potassium', 'Hct', 'Hgb')",205
127,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Potassium')",201
128,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",199
129,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Potassium', 'Hct')",197
130,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'Hct')",194
131,"('HCO3', 'pH', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",193
132,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",190
133,"('HCO3', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",189
134,"('pH', 'Lactate')",188
135,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",178
136,"('Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",177
137,"('pH', 'Potassium')",175
138,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Potassium')",175
139,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",174
140,"('HCO3', 'pH', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",174
141,"('HCO3', 'pH', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",173
142,"('FiO2', 'Hct', 'Hgb', 'WBC', 'Platelets')",172
143,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Lactate', 'Potassium')",171
144,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",170
145,"('HCO3', 'pH', 'BUN', 'Chloride', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC')",169
146,"('HCO3', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium')",168
147,"('BaseExcess', 'pH', 'PaCO2', 'Hct')",168
148,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'Glucose', 'Lactate', 'Potassium')",168
149,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'Glucose', 'Lactate', 'Hct', 'Hgb')",166
150,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",164
151,"('Chloride', 'Magnesium', 'Potassium')",164
152,"('pH', 'PaCO2', 'Glucose')",163
153,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",163
154,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'BUN', 'Chloride', 'Hct', 'Hgb', 'WBC')",161
155,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Hct', 'Hgb')",160
156,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'BUN', 'Chloride', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC')",160
157,"('HCO3', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",157
158,"('pH', 'Hct')",157
159,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium')",154
160,"('Glucose', 'Potassium', 'Hct')",154
161,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'BUN', 'Chloride', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC')",154
162,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'Glucose', 'Potassium', 'Hct', 'Hgb')",152
163,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'Glucose', 'Lactate', 'Potassium', 'Hct', 'Hgb')",152
164,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",147
165,"('Potassium', 'Platelets')",147
166,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",147
167,"('BaseExcess', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Hct')",146
168,"('HCO3', 'BUN', 'Chloride', 'Magnesium', 'Potassium', 'Hct')",145
169,"('HCO3', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",145
170,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",144
171,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",143
172,"('BaseExcess', 'pH', 'PaCO2', 'Glucose', 'Potassium', 'Hct')",142
173,"('HCO3', 'pH', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",140
174,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Potassium', 'Hct', 'Hgb')",139
175,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'BUN', 'Chloride', 'Lactate', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC')",138
176,"('FiO2', 'pH', 'PaCO2', 'Glucose')",137
177,"('HCO3', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",137
178,"('Glucose', 'Magnesium', 'Potassium')",137
179,"('BaseExcess', 'pH', 'Hct')",137
180,"('FiO2', 'pH', 'PaCO2', 'Lactate')",136
181,"('HCO3', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total')",135
182,"('BaseExcess', 'pH', 'PaCO2', 'Lactate', 'Potassium')",135
183,"('Magnesium', 'Hct')",133
184,"('pH', 'PaCO2', 'Lactate')",133
185,"('BaseExcess', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Lactate', 'Potassium', 'Hct', 'Hgb')",131
186,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium')",130
187,"('AST', 'Alkalinephos', 'Bilirubin_total')",129
188,"('HCO3', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Chloride', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",129
189,"('pH', 'Glucose', 'Hct')",128
190,"('pH', 'Glucose', 'Magnesium', 'Potassium')",127
191,"('Hct', 'PTT', 'Platelets')",126
192,"('HCO3', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'PTT')",126
193,"('BaseExcess', 'pH', 'PaCO2', 'Hct', 'Hgb')",126
194,"('BaseExcess', 'pH', 'PaCO2', 'Glucose', 'Hct')",124
195,"('BaseExcess', 'HCO3', 'pH', 'AST', 'BUN', 'Alkalinephos', 'Chloride', 'Lactate', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC')",121
196,"('BaseExcess', 'pH', 'PaCO2', 'Glucose', 'Lactate', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",121
197,"('FiO2', 'pH', 'SaO2')",118
198,"('Glucose', 'Hct', 'Hgb')",115
199,"('HCO3', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Potassium', 'Hct')",114
200,"('TroponinI',)",114
201,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'Hct', 'Hgb')",114
202,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Hct')",114
203,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",114
204,"('BaseExcess', 'HCO3', 'pH', 'SaO2', 'BUN', 'Chloride', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC')",113
205,"('pH', 'Magnesium', 'Potassium')",112
206,"('HCO3', 'FiO2', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",110
207,"('FiO2', 'Potassium')",110
208,"('HCO3', 'FiO2', 'BUN', 'Chloride', 'Creatinine', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",110
209,"('BaseExcess', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Magnesium', 'Potassium')",109
210,"('HCO3', 'SaO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",108
211,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",107
212,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",106
213,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Lactate', 'Hct', 'Hgb')",106
214,"('pH', 'PaCO2', 'Glucose', 'Potassium')",105
215,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",104
216,"('BaseExcess', 'pH', 'PaCO2', 'Lactate', 'Hct')",103
217,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'SaO2', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",101
218,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'Glucose', 'Hct')",100
219,"('BaseExcess', 'HCO3', 'pH', 'SaO2', 'BUN', 'Chloride', 'Lactate', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC')",99
220,"('FiO2', 'Potassium', 'Hct')",99
221,"('PTT', 'Fibrinogen')",97
222,"('HCO3', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Chloride', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",96
223,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'Lactate', 'Hct')",96
224,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",95
225,"('HCO3', 'pH', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",95
226,"('BaseExcess', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Magnesium', 'Potassium', 'Hct')",95
227,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Potassium')",95
228,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium')",94
229,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'BUN', 'Chloride', 'Lactate', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC')",94
230,"('FiO2', 'SaO2', 'Glucose')",94
231,"('BaseExcess', 'pH', 'Lactate', 'Hct')",93
232,"('Hct', 'PTT', 'Fibrinogen')",93
233,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'BUN', 'Chloride', 'Creatinine', 'Glucose', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",92
234,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'Lactate', 'Potassium')",91
