,group,numbers
54,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",209
55,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'Bilirubin_total', 'TroponinI', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",199
56,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Lactate', 'Potassium')",197
57,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'Bilirubin_total', 'TroponinI', 'Hct', 'Hgb', 'WBC', 'Platelets')",191
58,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",190
59,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Bilirubin_total')",186
60,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",177
61,"('Glucose', 'Magnesium')",174
62,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Fibrinogen', 'Platelets')",169
63,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",168
64,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",164
65,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",163
66,"('FiO2', 'Calcium', 'Glucose', 'Lactate', 'Potassium')",158
67,"('Glucose', 'Magnesium', 'Phosphate', 'Potassium')",156
68,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",152
69,"('Glucose', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",142
70,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Lactate')",136
71,"('Magnesium', 'TroponinI')",129
72,"('PTT', 'Fibrinogen', 'Platelets')",129
73,"('Glucose', 'PTT')",124
74,"('PTT', 'Fibrinogen')",123
75,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",122
76,"('Potassium', 'TroponinI')",122
77,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Magnesium', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Platelets')",122
78,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Bilirubin_total', 'TroponinI', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",121
79,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Phosphate', 'Potassium')",119
80,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",117
81,"('TroponinI', 'Hct', 'Hgb')",114
82,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'TroponinI', 'Hct', 'Hgb', 'WBC', 'Platelets')",113
83,"('Magnesium', 'Potassium', 'TroponinI')",112
84,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Chloride', 'Glucose', 'Lactate', 'Potassium', 'Hct', 'Hgb')",111
85,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Potassium', 'Bilirubin_total', 'TroponinI', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",109
86,"('Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",104
87,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Glucose', 'Lactate')",103
88,"('Glucose', 'Hgb')",101
89,"('Calcium', 'Glucose', 'Lactate', 'Potassium')",100
90,"('Magnesium', 'Phosphate', 'Potassium')",99
91,"('Hct', 'Hgb', 'WBC', 'Fibrinogen', 'Platelets')",95
92,"('Fibrinogen',)",93
93,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",92
94,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",91
95,"('FiO2', 'pH', 'PaCO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",89
96,"('FiO2', 'BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",89
97,"('pH', 'PaCO2', 'SaO2', 'Glucose')",86
98,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'TroponinI', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",84
99,"('AST', 'Alkalinephos', 'Bilirubin_direct', 'Bilirubin_total')",81
100,"('Glucose', 'TroponinI', 'Hct', 'Hgb', 'WBC', 'Platelets')",81
101,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'TroponinI', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",78
102,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'SaO2', 'Chloride', 'Glucose', 'Lactate', 'Potassium', 'Hct', 'Hgb', 'Fibrinogen', 'Platelets')",78
103,"('FiO2', 'pH', 'PaCO2')",77
104,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Platelets')",76
105,"('Glucose', 'PTT', 'Fibrinogen')",74
106,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Calcium', 'Glucose', 'Lactate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",73
107,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Creatinine', 'Glucose', 'Lactate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",72
108,"('FiO2', 'Potassium')",72
109,"('pH', 'PaCO2', 'SaO2', 'Calcium', 'Lactate', 'Potassium')",71
110,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'SaO2', 'Chloride', 'Glucose', 'Lactate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'Fibrinogen', 'Platelets')",70
111,"('Magnesium', 'Potassium', 'Hct', 'Hgb')",68
112,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Bilirubin_total', 'TroponinI')",67
113,"('Magnesium', 'Phosphate')",67
114,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'Hct', 'Hgb')",65
115,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",65
116,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'Bilirubin_total', 'TroponinI')",64
117,"('FiO2', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Platelets')",63
118,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Platelets')",63
119,"('Phosphate',)",63
120,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",58
121,"('FiO2', 'pH', 'PaCO2', 'Glucose')",56
122,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Calcium', 'Glucose', 'Lactate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",56
123,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Fibrinogen', 'Platelets')",55
124,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'TroponinI')",55
125,"('Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",55
126,"('FiO2', 'pH', 'PaCO2', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",55
127,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'TroponinI', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",54
128,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Calcium', 'Glucose', 'Potassium')",51
129,"('FiO2', 'BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium')",49
130,"('FiO2', 'pH', 'PaCO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",48
131,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'TroponinI', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",48
132,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",47
133,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Platelets')",46
134,"('TroponinI', 'PTT')",46
135,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'TroponinI', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",45
136,"('FiO2', 'Lactate')",45
137,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",44
138,"('HCO3', 'PaCO2', 'SaO2', 'Potassium', 'Hct', 'Hgb')",43
139,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Calcium', 'Potassium')",42
140,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Lactate', 'Potassium')",42
141,"('TroponinI', 'Hgb')",41
142,"('Glucose', 'Potassium', 'TroponinI')",40
143,"('Glucose', 'Magnesium', 'Phosphate')",40
144,"('Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",39
145,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total')",39
146,"('Magnesium', 'Hct', 'Hgb', 'WBC', 'Platelets')",38
147,"('HCO3', 'PaCO2', 'SaO2', 'Chloride', 'Lactate', 'Potassium', 'Hct', 'Hgb')",38
148,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",38
149,"('FiO2', 'BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",38
150,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Platelets')",37
151,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Calcium', 'Glucose', 'Lactate', 'Potassium', 'TroponinI')",37
152,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Potassium')",37
153,"('pH', 'PaCO2', 'SaO2', 'Glucose', 'Lactate', 'Potassium')",37
154,"('pH', 'PaCO2', 'SaO2', 'Lactate')",36
155,"('Glucose', 'Fibrinogen')",36
156,"('FiO2', 'Calcium', 'Chloride', 'Glucose', 'Lactate', 'Potassium')",35
157,"('Potassium', 'Hct', 'Hgb')",35
158,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Magnesium', 'Potassium', 'Bilirubin_total', 'TroponinI', 'Hct', 'Hgb', 'WBC', 'Platelets')",35
159,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Creatinine', 'Glucose', 'Lactate', 'Potassium')",35
160,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Potassium', 'Bilirubin_total', 'TroponinI', 'Hct', 'Hgb', 'WBC', 'Platelets')",34
161,"('Glucose', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",34
162,"('AST', 'Alkalinephos', 'Bilirubin_direct', 'Glucose', 'Bilirubin_total')",34
163,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb')",33
164,"('FiO2', 'pH', 'PaCO2', 'Chloride', 'Glucose', 'Lactate', 'Potassium')",33
165,"('Glucose', 'Hct', 'Hgb', 'WBC', 'Fibrinogen', 'Platelets')",33
166,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Calcium', 'Glucose', 'Lactate', 'Magnesium', 'Potassium')",32
167,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'PTT', 'Fibrinogen')",32
168,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Calcium', 'Lactate')",31
169,"('Glucose', 'Phosphate')",31
170,"('BaseExcess', 'HCO3', 'pH', 'PaCO2', 'SaO2', 'Chloride', 'Glucose', 'Lactate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",31
171,"('FiO2', 'Glucose', 'Potassium')",30
172,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'PTT')",30
173,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Fibrinogen', 'Platelets')",29
174,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'Chloride', 'Glucose', 'Lactate', 'Potassium')",29
175,"('FiO2', 'Glucose', 'Lactate', 'Potassium')",29
176,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'TroponinI')",29
177,"('FiO2', 'Lactate', 'Potassium')",29
178,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Phosphate', 'Potassium', 'TroponinI', 'Hct', 'Hgb', 'WBC', 'Platelets')",29
179,"('Glucose', 'PTT', 'Fibrinogen', 'Platelets')",29
180,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Potassium', 'Bilirubin_total')",28
181,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Phosphate', 'Potassium', 'Bilirubin_total')",28
182,"('pH', 'PaCO2', 'SaO2', 'Glucose', 'Lactate')",28
183,"('Lactate',)",27
184,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Bilirubin_direct', 'Glucose', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",27
185,"('Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb')",27
186,"('Platelets',)",27
187,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Fibrinogen', 'Platelets')",27
188,"('Hct', 'Hgb', 'PTT')",27
189,"('BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb')",26
190,"('Magnesium', 'Phosphate', 'Hct', 'Hgb', 'WBC', 'Platelets')",26
191,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",26
192,"('FiO2', 'pH', 'PaCO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium')",26
193,"('BaseExcess', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Lactate', 'Potassium', 'Hct', 'PTT', 'Fibrinogen', 'Platelets')",26
194,"('FiO2', 'pH', 'PaCO2', 'Calcium', 'Chloride', 'Glucose', 'Lactate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",25
195,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",25
196,"('BaseExcess', 'HCO3', 'FiO2', 'pH', 'PaCO2', 'SaO2', 'Calcium', 'Chloride', 'Glucose', 'Lactate', 'Potassium', 'Hct', 'Hgb')",25
197,"('FiO2', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Platelets')",25
198,"('Calcium',)",25
199,"('AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Fibrinogen', 'Platelets')",25
200,"('Glucose', 'Magnesium', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",24
201,"('FiO2', 'pH', 'PaCO2', 'Calcium', 'Chloride', 'Glucose', 'Lactate', 'Potassium', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",24
202,"('Glucose', 'TroponinI', 'Hct', 'Hgb')",23
203,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Potassium')",23
204,"('HCO3', 'PaCO2', 'Chloride', 'Lactate', 'Potassium', 'Hct', 'Hgb')",23
205,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium')",23
206,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'BUN', 'Calcium', 'Chloride', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Hct', 'Hgb', 'WBC', 'Platelets')",23
207,"('pH', 'PaCO2', 'SaO2', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Phosphate', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Platelets')",22
208,"('FiO2', 'pH', 'PaCO2', 'SaO2', 'AST', 'BUN', 'Alkalinephos', 'Calcium', 'Creatinine', 'Glucose', 'Lactate', 'Magnesium', 'Potassium', 'Bilirubin_total', 'Hct', 'Hgb', 'WBC', 'Platelets')",22
209,"('Glucose', 'Magnesium', 'TroponinI')",22
210,"('TroponinI', 'Hct', 'Hgb', 'PTT', 'WBC', 'Platelets')",22
211,"('TroponinI', 'Hct', 'Hgb', 'PTT', 'WBC', 'Fibrinogen', 'Platelets')",22
